Node Number,X Location (mm),Y Location (mm),Z Location (mm),Total Deformation (mm)
1185,487.39,1727.8,258.98,0.022293
1186,487.39,1730.7,239.19,0.022783
1187,487.39,1733.3,219.37,0.023243
1188,487.39,1735.7,199.52,0.023673
1189,487.39,1737.8,179.64,0.024072
1190,487.39,1739.8,159.74,0.024438
1191,487.39,1741.5,139.82,0.024767
1192,487.39,1743,119.88,0.025063
1193,487.39,1744.2,99.922,0.025317
1194,487.39,1745.3,79.953,0.025526
1195,487.39,1746.1,59.974,0.025687
1196,487.39,1746.6,39.987,0.025799
1197,487.39,1747,19.995,0.025865
1198,487.39,1747.1,-3.1832E-12,0.025888
1199,487.39,1747,-19.995,0.025866
1200,487.39,1746.6,-39.987,0.025801
1201,487.39,1746.1,-59.974,0.02569
1202,487.39,1745.3,-79.953,0.02553
1203,487.39,1744.2,-99.922,0.025322
1204,487.39,1743,-119.88,0.025068
1205,487.39,1741.5,-139.82,0.024774
1206,487.39,1739.8,-159.74,0.024445
1207,487.39,1737.8,-179.64,0.02408
1208,487.39,1735.7,-199.52,0.023681
1209,487.39,1733.3,-219.37,0.02325
1210,487.39,1730.7,-239.19,0.022788
1211,487.39,1727.8,-258.98,0.022297
1212,487.39,1724.7,-278.74,0.021781
1213,487.39,1721.4,-298.46,0.021244
1214,487.39,1717.9,-318.14,0.020692
1215,487.39,1714.1,-337.78,0.020123
1216,487.39,1710.2,-357.37,0.019542
1217,487.39,1706,-376.92,0.018949
1218,487.39,1701.5,-396.42,0.018344
1219,487.39,1696.9,-415.87,0.017729
1220,487.39,1692,-435.26,0.017102
1221,487.39,1686.9,-454.6,0.016465
1222,487.39,1681.6,-473.87,0.015807
1223,487.39,1676.1,-493.09,0.015128
1224,487.39,1670.3,-512.24,0.014427
1225,487.39,1664.4,-531.32,0.013702
1226,487.39,1658.2,-550.33,0.012952
1227,487.39,1651.8,-569.27,0.01218
1228,487.39,1645.1,-588.14,0.011388
1229,487.39,1638.3,-606.93,0.010577
1230,487.39,1631.2,-625.64,0.0097485
1231,487.39,1624,-644.27,0.0089115
1232,487.39,1616.5,-662.81,0.0080741
1233,487.39,1608.8,-681.27,0.0072475
1234,487.39,1600.9,-699.63,0.0064483
1235,487.39,1592.8,-717.91,0.005702
1236,487.39,1584.5,-736.09,0.0050474
1237,487.39,1575.9,-754.18,0.0045338
1238,487.39,1567.2,-772.16,0.0042296
1239,487.39,1558.3,-790.05,0.0041937
1240,487.39,1549.1,-807.83,0.0044403
1241,487.39,1539.8,-825.51,0.0049332
1242,487.39,1530.2,-843.08,0.0056113
1243,487.39,1520.5,-860.53,0.0064157
1244,487.39,1510.5,-877.88,0.0073034
1245,487.39,1500.4,-895.11,0.0082505
1246,487.39,1490,-912.22,0.0092347
1247,487.39,1479.5,-929.21,0.01024
1248,487.39,1468.8,-946.08,0.011254
1249,487.39,1457.9,-962.83,0.012271
1250,487.39,1446.7,-979.45,0.013285
1251,487.39,1435.4,-995.95,0.01429
1252,487.39,1423.9,-1012.3,0.015284
1253,487.39,1412.3,-1028.5,0.01627
1254,487.39,1400.4,-1044.6,0.017237
1255,487.39,1388.4,-1060.6,0.018178
1256,487.39,1376.1,-1076.4,0.019089
1257,487.39,1363.7,-1092.1,0.01997
1258,487.39,1351.1,-1107.6,0.020817
1259,487.39,1338.4,-1123,0.021628
1260,487.39,1325.4,-1138.3,0.022406
1261,487.39,1312.3,-1153.4,0.023151
1262,487.39,1299,-1168.3,0.023853
1263,487.39,1285.6,-1183.1,0.024509
1264,487.39,1271.9,-1197.7,0.025119
1265,487.39,1258.1,-1212.2,0.025686
1266,487.39,1244.2,-1226.5,0.026216
1267,487.39,1230.1,-1240.7,0.026722
1268,487.39,1215.8,-1254.7,0.027209
1269,487.39,1201.4,-1268.5,0.027667
1270,487.39,1186.8,-1282.2,0.028091
1271,487.39,1172,-1295.7,0.028481
1272,487.39,1157.1,-1309,0.028835
1273,487.39,1142,-1322.2,0.029156
1274,487.39,1126.8,-1335.1,0.02945
1275,487.39,1111.5,-1347.9,0.029725
1276,487.39,1096,-1360.6,0.029977
1277,487.39,1080.3,-1373,0.030206
